0,1,2,3,4
0.0,0.4657520149720948,1.0,0.6541468440489906,0.0
1.0,1.0,1.0,0.10747434264116176,0.38558811070323185
0.3569243249269203,0.0,0.03378004096157338,1.0,1.0
1.0,0.26925030386255194,1.0,1.0,1.0
0.22439429577281117,1.0,0.12474857415281546,0.0712152641728451,1.0
0.0,0.2293825198106278,0.904883068269782,0.7332984139278154,0.0
1.0,0.3748675157951248,1.0,1.0,1.0
0.0,1.0,0.024650659943047857,0.12647528838873548,1.0
0.5483800431820771,0.0,0.02090134896937584,1.0,1.0
0.8867563449851262,1.0,1.0,0.1541474288776895,0.46964784868898224
0.0,1.0,1.0,1.0,0.20037808785824593
0.0,0.04736581338341902,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
0.7828515442612094,1.0,1.0,1.0,1.0
0.0,1.0,1.0,0.05601615212137416,1.0
0.0,1.0,0.12451431009339177,1.0,1.0
0.0,1.0,1.0,1.0,0.16113961381122494
0.0,1.0,1.0,1.0,1.0
0.0,0.1567889012950554,1.0,1.0,1.0
0.0,1.0,1.0,0.054068039366340886,1.0
0.0,1.0,1.0,0.0,0.22251468717131917
0.0,0.01785037344068514,1.0,0.0,1.0
0.9417814438692234,1.0,0.0,1.0,1.0
0.9859445694353434,0.0,1.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.33042074413598277,1.0,1.0
0.0,1.0,1.0,0.0,0.0
0.0,1.0,0.0,1.0,0.15681375104376638
0.0,0.0,1.0,0.0,1.0
